,Title,Note,URL,Tags,Comment,lat,lng
75,Dhoby Ghaut MRT Station (NS24),,https://www.google.com/maps/place/Dhoby+Ghaut+MRT+Station+(NS24)/data=!4m2!3m1!1s0x31da192496d12c91:0xc3903b2648d2caa5,,,1.2986545,103.8464611
76,Telok Ayer MRT Station (DT18),,https://www.google.com/maps/place/Telok+Ayer+MRT+Station+(DT18)/data=!4m2!3m1!1s0x31da190db5044313:0xbd83a75c5c5f0c82,,,1.2817668,103.8489192
77,Bugis MRT Station (EW12),,https://www.google.com/maps/place/Bugis+MRT+Station+(EW12)/data=!4m2!3m1!1s0x31da199daaffbbbf:0x288968dd25ae56e3,,,1.2993154,103.8551853
78,Science Centre Singapore,"Museum, $10, 2h",https://www.google.com/maps/place/Science+Centre+Singapore/data=!4m2!3m1!1s0x31da1004147cad63:0x18e02380e45f8dce,,,1.3331687,103.7356443
79,MUSEUM OF ICE CREAM SINGAPORE,"Museum, $50, 3h",https://www.google.com/maps/place/MUSEUM+OF+ICE+CREAM+SINGAPORE/data=!4m2!3m1!1s0x31da1b355492a4ff:0x9d4acefb3db83467,,,1.352083,103.819836
80,Good Bites,"Cafe, $30, 2h",https://www.google.com/maps/place/Good+Bites/data=!4m2!3m1!1s0x31da172a10a45b51:0x80558c3ee2c43396,,,41.6293073,-73.6967281
81,Dumpling Darlings,"Chinese, $20, 1h",https://www.google.com/maps/place/Dumpling+Darlings/data=!4m2!3m1!1s0x31da192966f0f017:0x551bf09b78c8ecc0,,,1.2874809,103.8487652
82,La Table d’Emma,"French, $60, 1.5h",https://www.google.com/maps/place/La+Table+d%E2%80%99Emma/data=!4m2!3m1!1s0x31da19001e6b38f3:0x38d0fb575344aa0d,,,1.2829829,103.8468773
83,Scarpetta,"Italian, $50, 2h",https://www.google.com/maps/place/Scarpetta/data=!4m2!3m1!1s0x31da19b6ee6fb76b:0x6fd03cb7399fe9bb,,,40.74458180000001,-73.9856202
84,Suju Masayuki Mandarin Gallery,"Japanese, $50, 1.5h",https://www.google.com/maps/place/Suju+Masayuki+Mandarin+Gallery/data=!4m2!3m1!1s0x31da199173123853:0xc0b2f77ca5b9272f,,,1.3021058,103.836588
85,Le Ruby Ice Cream Cafe & Bakery,"Cafe, $20, 0.5h",https://www.google.com/maps/place/Le+Ruby+Ice+Cream+Cafe+%26+Bakery/data=!4m2!3m1!1s0x31da17114cf93ff1:0x8820ae6c6a67cb15,,,1.3345245,103.8494652
86,Woofie's Warehouse Thrift Store Haji Lane,"Thrift, $30, 0.5h",https://www.google.com/maps/place/Woofie's+Warehouse+Thrift+Store+Haji+Lane/data=!4m2!3m1!1s0x31da19ba57156de1:0x6acb8769eb108aad,,,1.3014983,103.8582975
87,THE CARTEL'S VINTAGE STORE,"Thrift, $50, 0.5h",https://www.google.com/maps/place/THE+CARTEL'S+VINTAGE+STORE/data=!4m2!3m1!1s0x31da19a9b6711b3d:0xe819565b59b1d77b,,,1.301061,103.8589726
88,The Plump Frenchman,"French, $80, 2h",https://www.google.com/maps/place/The+Plump+Frenchman/data=!4m2!3m1!1s0x31da19e621a3a443:0x6256679834e5912c,,,1.2995094,103.8565633
89,New2U by SCWO,"Thrift, $20, 0.5h",https://www.google.com/maps/place/New2U+by+SCWO/data=!4m2!3m1!1s0x31da19bb419a99eb:0xd67c9b3776d7dc2c,,,1.2995559,103.8515784
90,Cherry Thrift Shop,"Thrifting, $40, 0.5h",https://www.google.com/maps/place/Cherry+Thrift+Shop/data=!4m2!3m1!1s0x31da194a5215b14f:0x5fe12e4895c02011,,,1.2922871,103.8508504
